,Proposal,Property Address,Decision,Date decision issued
22/00622/B,Erection of replacement single storey front porch,Marlbrook Kerrowmoar Sulby Isle Of Man IM7 2AX ,PER,28-Jun-22
22/00623/B,Installation of enclosure of existing external balcony,110 Kings Court Ramsey Isle Of Man IM8 1LJ ,PER,27-Jun-22
22/00624/B,Install two additional windows for cross ventilation to a stable block,Mountain View Farm Stoney Mountain Road Foxdale Isle Of Man IM4 3HJ ,PER,04-Aug-22
22/00625/B,Alteration and erection of a first floor extension,4 Raad Bridjeen Reayrt Ny Cronk Peel Isle Of Man IM5 1GQ ,REF,20-Jul-22
22/00627/C,Additional use of staff accommodation as tourist living accommodation,Cottage Berrag Farm Sandygate Ramsey Isle Of Man IM7 3BS ,PER,01-Jul-22
22/00628/B,Erection of Front Porch and installation of Bi-Folding doors to side (South) elevation,17 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT,PER,13-Jul-22
22/00629/B,Erection of single storey rear extension,18 Westminster Terrace Douglas Isle Of Man IM1 4EE,PER,08-Nov-22
22/00630/C,Change of use from office and retail space to single use bakery and coffee shop (Class 1.1 & 1.3),Ground Floor Peveril Building Peveril Square Douglas Isle Of Man IM1 2BS ,PER,01-Jul-22
22/00631/B,Erection of single storey side extension to the rear with associated works,17 Pinehurst Avenue Douglas Isle Of Man IM2 1PQ ,PER,15-Jul-22
22/00632/D,Erection of non illuminated signage totem,Advertising Cherry Tree Drive Crosby Isle Of Man IM4 2EE ,PER,13-Jul-22
22/00633/MCH,"Minor Change application to PA 20/00337/REM involving alterations to approved external and internal layouts including the installation of glass balustrade roof terraces, roof gardens, replacement cladding with Manx slate, roofing alterations and fenestrat",Land Adjoining Far End King Edward Road Onchan Isle Of Man  ,PER,25-Jul-22
22/00634/B,Erection of rear single storey sun lounge with bi-fold door,2 Kirkway Onchan Isle Of Man IM3 1BH ,PER,15-Jul-22
22/00636/B,Erection of rear single storey extension with roof lanterns and bi-folding door and replacement car port to side elevation.,Tavullia Booilushag Ballajora Ramsey Isle Of Man IM7 1BB ,PER,19-Jul-22
22/00637/B,Installation of replacement windows and patio doors,Flat 7 Mount Rule House Mount Rule Douglas Isle Of Man IM4 4HP ,PER,29-Jul-22
22/00640/B,Alterations and extensions to provide additional and improved living and garage accommodation to dwelling,28 Belgravia Road Onchan Isle Of Man IM3 1HH,REF,09-Aug-22
22/00642/B,Replacement of mechanical plant on the first-floor level roof at the rear of the building,First Floor Office Barclays House Victoria Street Douglas Isle Of Man IM1 2LE ,PER,30-Sep-22
22/00643/B,Installation of replacement windows and door to front elevation,90 Malew Street Castletown Isle Of Man IM9 1LS,PER,14-Jul-22
22/00644/B,Replacement of existing conservatory with a sunroom / family room space to rear of the property,84 Birch Hill Crescent Onchan Isle Of Man IM3 3DA,PER,15-Jul-22
22/00645/B,"Erection of single storey side extension behind existing garage, and conversion of one garage into living space with installation of a replacement window to garage door and installation of bi-fold doors to the rear of the property.",2 Fuchsia Road Reayrt Ny Keylley Peel Isle Of Man IM5 1GA ,PER,20-Jul-22
22/00646/B,Removal of shared chimney stack to below roof level and then roof over to match existing roof tiles,The Haven & Ballalace Tynwald Road Peel Isle Of Man IM5 1JL,PER,28-Jul-22
22/00647/B,Conversion of part residential and commercial unit (classes 1.1 & 3.3) to a single residential unit (class 3.3) with associated works.,58-60 Main Road Onchan Isle Of Man IM3 1AL,PER,15-Jul-22
22/00649/B,Installation of replacement roof tiles,161 Royal Avenue Onchan Isle Of Man IM3 1LG,PER,24-Aug-22
22/00650/B,Installation of replacement windows and door to front elevation and replacement rear door,17 Beach Street Peel Isle Of Man IM5 1NJ,PER,22-Jun-22
22/00651/B,"Refurbish and remodel existing dwelling, convert attached outbuildings into part of dwelling, and build extension to dwelling",Ballaskelly Farm Mountain Road Onchan Isle Of Man IM4 5BL,PER,20-Dec-22
22/00652/B,Conversion of existing building from two residential units to four apartments for residential (class 3.4) and tourism use (class 3.6) and one commercial office (class 2.1) to basement floor level,2 Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH ,PER,29-Jul-22
22/00654/B,Erection of an agricultural building,Field Number 420855 Ballagawne Farm Ballagawne Road Ballabeg Castletown Isle Of Man  ,PER,06-Oct-22
22/00655/B,Proposed hot food takeaway (class 1.4) (retrospective) and restaurant (class 1.3) together with the installation of a ventilation intake unit and extract flue,Regent Corner House 64 Duke Street Douglas Isle Of Man IM1 2AR,PER,24-Nov-22
22/00656/B,Conversion of lower ground floor residential area to self-contained apartment with additional tourist use & longer term lets,Tremasare Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD,PER,15-Jul-22
22/00657/LAW,Certificate of lawful development for door / window alterations made to the extension on the first floor resale,Glen Garwick Pack Horse Lane Baldrine Isle Of Man IM4 6DT,CLAWR,15-Aug-22
22/00658/B, Proposed alterations and conversion of existing dwelling into two separate dwellings,4 Falcon Cliff Terrace Douglas Isle Of Man IM2 4AU,PER,19-Oct-22
22/00659/B,Conversion of a garage with alterations including the installation of a window to replace a garage door and the installation of a flue,21 King Edward Close Onchan Isle Of Man IM3 2AG,PER,15-Jul-22
22/00660/LAW,Installation of replacement windows and doors and removal of rear chimney stack and erection of satellite dishes (Retrospective),Zaria 3 Sartfell Road Douglas Isle Of Man IM2 3LZ,CLAWA,15-Jul-22
22/00661/C,Erection of Summerhouse (Retrospective) and Additional use of summerhouse as tourist living accommodation,North Baldrine House Baldhoon Road Laxey Isle Of Man IM4 7NG,PER,16-Sep-22
22/00662/B,Creation of two new residential units with parking,5 Marguerite Place Foxdale Isle Of Man IM4 3HE,WDN,19-Oct-22
22/00664/B,Installation of a replacement front door,Harbourside East Quay Ramsey Isle Of Man IM8 1BA,PER,22-Jul-22
22/00666/B,Removal of internal downpipes and installation of external rainwater hoppers and downpipes,Queens Court Ramsey Isle Of Man IM8 1LQ,PER,19-Aug-22
22/00668/B,Installation of a cycle shelter,Department Of Properties And Estates  Hills Meadow Industrial Estate Douglas IM1 5EF,REF,20-Jul-22
22/00669/A,Approval in principle for the erection of 2 residential dwellings,Balla Bluff Pinfold Hill Laxey Isle Of Man IM4 7HL,PER,09-Aug-22
22/00670/B,Installation of a glazed sliding door to side elevation of detached garage,Greenfields Main Road Colby Isle Of Man IM9 4AE ,PER,01-Aug-22
22/00671/B,"Variation of condition one of PA 18/00609/B, Erection of detached classroom unit within school grounds (retrospective), to extend period of permission by four years",Buchan School Arbory Road Castletown Isle Of Man IM9 1RD ,PER,03-Aug-22
22/00672/GB,Installation of replacement windows to front and side elevations RB 17 (in association with PA 22/00673/CON),Mannanan House Market Square Castletown Isle Of Man  ,REF,12-Jul-22
22/00673/CON,Registered Building consent for the installation of replacement windows RB 17 (in association with PA 22/00672/GB),Mannanan House Market Square Castletown Isle Of Man  ,REF,12-Jul-22
22/00676/GB,"Replacement roof tiles, flat roofs, hanging wall ties, rainwater goods and associated lead work (in association with RB consent application 22/00677/CON)",Ivydene Little Switzerland Douglas Isle Of Man IM2 6AG,PER,26-Jul-22
22/00677/CON,"Replacement roof tiles, flat roofs, hanging wall tiles, rainwater goods, lead flashings, lead valleys and repointing of chimney brickwork - RB 159 ( in association with application 22/00676/GB)",Ivydene Little Switzerland Douglas Isle Of Man IM2 6AG,PER,26-Jul-22
22/00681/B,"Erection of two single storey rear extensions with flat roofs, installation of replacement pitch roof over existing swimming pool and creation of driveway around the dwelling.",Ballamin Cottage Lhen Road Bride Isle Of Man IM7 4BG,PER,12-Jul-22
22/00683/B,Installation of replacement windows.,15 Bridge Street Peel Isle Of Man IM5 1NF,PER,20-Jul-22
22/00684/B,Erection of replacement front dormer and installation of replacement mid-elevation dormer and installation of replacement screened roof terrace (Min. 1800mm High) over existing garage,The Old Bakehouse Athol Street Port St Mary Isle Of Man IM9 5DS ,REF,11-Nov-22
22/00685/MCH,Minor Change application to PA 21/01227/B involving alterations to central carport arrays 2 & 3 to share a common roof,Zurich House Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ ,PER,01-Jul-22
22/00686/A,Approval in principle for the erection of a dwelling addressing means of access and parking,Land Adjacent To 40 Greenlands Avenue Ramsey Isle Of Man IM8 2PL ,REF,26-Oct-22
22/00687/C,Application for the change of use of the managers house from a dwelling to a self catering cottage for tourism and other,Broogh Fort Clay Pigeon Range Moaney Road Santon Isle Of Man IM4 1HY,PER,05-Aug-22
22/00688/B,Installation of a pitched roof dormer to rear bathroom with associated works.,The Coote Ballnahowe Road Ballnahowe Port Erin Isle Of Man IM9 6JF ,PER,20-Jul-22
22/00689/B,Erection of detached single storey timber cabin to the rear,10 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP ,PER,29-Jul-22
22/00690/B,Installation of a mobile field stable / shelter (retrospective),"Fields 622432, 622468, 622467, 622463, 624497, 622465, 622471, 622435, 624326 & 624325  Adjacent To Dhoon Loop Road Dhoon Ramsey Isle Of Man  ",REF,26-Oct-22
22/00691/B,Installation of three replacement windows,Dubbey Mooar 44 - 46 Queen Street Castletown Isle Of Man IM9 1NZ,PER,21-Jul-22
22/00692/B,Installation of new roof to sunroom extension involving the increase in roof pitch (retrospective),35 All Saints Park Lonan Laxey Isle Of Man IM4 7LB ,PER,16-Sep-22
22/00693/MCH,Minor change application to PA 19/00954/B Installation of replacement sliding patio door in existing rear door and window aperture and installation of a handrail to the ramp at the rear,1 & 3 Reayrt Y Chrink Southlands Crescent Port Erin Isle Of Man IM9 6BE,PER,24-Jun-22
22/00694/B,Conversion of existing Workshop/Home Office to provide additional living accommodation in association with the main dwelling with additional tourist let usage,Cottimans Port E Vullen Ramsey Isle Of Man IM7 1AP ,PER,30-Sep-22
22/00695/B,Removal of a chimney stack to rear elevation (retrospective),17 Greeba Drive Onchan Isle Of Man IM3 1ER,PER,11-Jul-22
22/00696/C,"Change of Use of levels 1, 2 and 3 to south of main entrance and level 4 to both sides of the main entrance from office to gymnasium/wellness centre",Victory House Prospect Hill Douglas Isle Of Man IM1 1EQ ,PER,25-Jul-22
22/00697/C,Change of use of ground floor office (class 2.1) to a residential flat (class 3.4),Woodbourne House Woodbourne Lane Douglas Isle Of Man IM2 3LJ,REF,02-Sep-22
22/00698/B,"Alterations, creation of a single storey garage with a roof terrace on its flat roof to the rear of the property, and installation of a roof lantern",37 Woodburn Square Douglas Isle Of Man IM1 4DD ,REF,04-Aug-22
22/00699/B,"Installation of sliding doors & decking area, blocking up of door to the rear",36 King Edward Park Onchan Isle Of Man IM3 2AB ,PER,26-Aug-22
22/00700/B,Installation of dormer windows to the front and rear of the property with associated works,4 High View Road Douglas Isle Of Man IM2 5BQ,REF,04-Aug-22
22/00701/B,Installation of a flue (retrospective),2 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT,PER,12-Jul-22
22/00702/B,Repair works and Installation of replacement roof tiles and land drainage works,Knockuskey Cottage Niarbyl Road Dalby Isle Of Man IM5 3BS ,PER,30-Aug-22
22/00703/C,Additional use of residential (class 3.3) as tourist accommodation (class 3.6),2 High Street Port St Mary Isle Of Man IM9 5DR ,PER,29-Jul-22
22/00704/CON,Registered Building consent for the removal of existing cement rendered window reveals surrounds to 11no windows on the south & west elevations and reinstatement to match existing using lime mortar (RB Nos. 28),Derby House  Castle Street & Parliament Square Castletown Isle Of Man IM9 1LA,PER,04-Aug-22
22/00705/B,Erection of a quadruple garage with living space above,The Nab Farm Top Road Crosby Isle Of Man IM4 4HL,PER,16-Sep-22
22/00706/B,"Erection of extension to club house to provide storage, toilet facilities and access",Ballaugh Bowling Club Ballacrosha Ballaugh Isle Of Man IM7 5AF,PER,12-Jul-22
22/00707/B,Creation of a temporary parking for storage of plant vehicles and equipment for use by the Manx Development Corporation,Ballacloan School (former) Demesne Road Douglas Isle Of Man IM1 3DX,PER,10-Aug-22
22/00708/B,Replace existing wooden front door and frame with bespoke painted hardwood incorporating upper double glazed,2 Shore Road Laxey Isle Of Man IM4 7DJ,PER,04-Aug-22
22/00709/B,Erection of extension to replace existing conservatory and the erection of a decking (Partial retrospective).,10 Langdale Close Onchan Isle Of Man IM3 2DD,PER,22-Sep-22
22/00710/B,Removal of chimney stack and internal chimney breast with associated works,Thie Corneil 8 Close Cubbon Peel Isle Of Man IM5 1NS,PER,12-Aug-22
22/00711/B,Widening of driveway and vehicular access,11 Hilltop View Douglas Isle Of Man IM2 2LD,PER,12-Jul-22
22/00712/D,Erection of non-illuminated  acrylic sign,Unit 3 Peel Road Retail Park Peel Road Douglas Isle Of Man IM1 5EE ,PER,20-Jul-22
22/00713/B,Erection of first floor extension above garage and extension of driveway and vehicular access,4 Meayll Drive Ballakilley Port St Mary Isle Of Man IM9 5NT ,PER,29-Jul-22
22/00714/B,Creation terrace area and replacement of existing window with patio doors to rear elevation,16 Tromode Heights Douglas Isle Of Man IM2 5LU,PER,12-Aug-22
22/00716/B,Erection of an agricultural building,Ballavell Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP,PER,28-Jul-22
22/00717/B,To increase the area of the private driveway and widening of the existing vehicle access,24 Wentworth Close Onchan Isle Of Man IM3 2JT,PER,05-Sep-22
22/00719/B,Erection of an agricultural building.,North West Of Upper Billown Farm West Grenaby Road Ballasalla Isle Of Man IM9 3DP ,PER,28-Jul-22
