RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status
198,"The former Isle of Times Office, 9 Athol Street",20/09/2002,https://www.gov.im/media/632393/0500198regbld9atholstreet.pdf,Douglas,,Registered
199,29-31 Athol Street,20/09/2002,https://www.gov.im/media/632399/0500199regbld31atholstreet.pdf,Douglas,,Registered
200,"The Gaiety Theatre, Harris Promenade",24/09/2002,https://www.gov.im/media/632405/0500200regbldgaitytheatre.pdf,Douglas,,Registered
201,"The Queen's Hotel, Queen's Promenade",20/09/2002,https://www.gov.im/media/632411/0500201regbldqueenshotel.pdf,Douglas,,Registered
202,School House (former Parochial or Central School),20/09/2002,https://www.gov.im/media/632633/0500202regbldschoolhouse.pdf,Maughold,,Registered
203,"The Old Sail Loft, Shore Road",20/09/2002,https://www.gov.im/media/632855/0500203regbldtheoldsailloft.pdf,Port St Mary,,Registered
204,St. German's Cathedral,18/10/2002,https://www.gov.im/media/632831/0500204regbldstgermainschurch.pdf,Peel,,Registered
205,"Tower of Refuge, St. Mary's Rock (also known as Conister Rock)",18/10/2002,https://www.gov.im/media/632417/0500205regbldtowerofrefuge.pdf,Douglas,,Registered
206,"May Hill House (formerly Cronk Brae), May Hill",18/10/2002,https://www.gov.im/media/632945/rb-206-may-hill-house-formerly-cronk-brae-may-hill.pdf,Ramsey,,Registered
207,"The Former Wesleyan Chapel, Earystane Village",18/10/2002,https://www.gov.im/media/631523/0500207regbldwesleyanchapel.pdf,Arbory,,Registered
208,The Golden Meadow Mill,18/10/2002,https://www.gov.im/media/631997/0500208regbldoldmill.pdf,Castletown,,Registered
209,Mullinaragher,11/12/2002,https://www.gov.im/media/633023/0500209regbldmullinaragher.pdf,Santon,,Registered
210,4-11 Harris Terrace,13/12/2002,https://www.gov.im/media/632423/0500210regbld411harristerrace.pdf,Douglas,,Registered
