Planning Application No,Proposal,Property Address,Decision,Date decision issued
17/00898/B,Alterations and erection of rear extension,14 Peveril Avenue Peel Isle Of Man IM5 1QB,PER,05-Jan-18
17/00908/A,Approval in principle for the demolition of existing house and construction of a replacement dwelling (including siting),The Driney Laurel Bank St Johns Isle Of Man IM4 3NL ,REF,27-Feb-18
17/00939/B,Replacement dwelling with attached garage,Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL,REF,11-Jan-18
17/00946/B,"Replacement front door and windows, sliding sash to front and casement to rear",23 Hope Street Castletown Isle Of Man IM9 1AP,PER,20-Feb-18
17/00950/B,Replacement timber plain glazed windows to front elevation,Methodist Church Arbory Street Castletown Isle Of Man IM9 1LN,REF,24-Jan-18
17/00957/B,Extensions and alterations to provide additional living accommodation,6 St Olaves Close Ramsey Isle Of Man IM8 3HA ,PER,02-Feb-18
17/00980/B,"Alterations, erection of attached garage to side elevation and extension of existing driveway",Albrie House Victoria Road Douglas Isle Of Man IM2 4AF,PER,03-Apr-18
17/01014/B,Demolition of existing dwelling and construction of replacement dwelling with integral garaging,1 Perwick Road Port St. Mary Isle Of Man IM9 5PA,PER,02-Feb-18
17/01015/B,Erection of garages for use in connection with existing holiday accommodation,Lheakerrow Farm Lhoobs Road Foxdale Isle Of Man IM4 3JB,PER,22-Feb-18
17/01016/B,Erection of porch and alterations to existing dwelling and extension of drive/hardstanding,Cronk Coar Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AY ,PER,22-Jan-18
17/01017/B,Creation of concrete surfaced parking area within front garden,16 Fairfield Avenue Onchan Isle Of Man IM3 4BQ,PER,05-Jan-18
17/01020/C,Amendments to extension approved under PA09/00152/B,Elgin Stables Elgin Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW ,PER,08-Mar-18
