"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"22/00982/B","Erection of 2 storey side extension and installation of photovoltaic cells to the roof.","25 Clybane Rise Douglas Isle Of Man IM2 2LY","PER","12-Oct-22","2022"
"22/00984/C","Change of use application for use as construction company with storage & distribution and to include the associated use as a vehicle operating centre (part retrospective).","Unit 5 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR","PER","15-Nov-22","2022"
"22/00985/B","Replacement & extension of flat roof dormer to rear elevation","Cronk Steone Rhencullen Kirk Michael Isle Of Man IM6 2HA ","PER","26-Sep-22","2022"
"22/00986/B","Replacement of garage door with a doorway and window and erection of a replacement porch","Roseanne Minorca Hill Laxey Isle Of Man IM4 7DX","PER","07-Oct-22","2022"
"22/00987/B","Conversion of existing roof space into additional Bedroom accommodation, including rear dormer and front door/window alterations","Bridge View House Main Road Ballaugh Isle Of Man IM7 5EQ","PER","07-Oct-22","2022"
"22/00990/B","Erection of detached garage to rear yard","4 Sydney Street Douglas Isle Of Man IM1 3JB","PER","19-Dec-22","2022"
"22/00993/C","Change of use of unit for use as assembly, showroom and distribution of furniture & leisure buildings","Unit 42 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS","PER","21-Dec-22","2022"
"22/00994/C","Additional use of garage as a dog grooming parlour","East Craige St Judes Isle Of Man IM7 2EW ","PER","09-Dec-22","2022"
"22/00996/C","Change of use of police stations Lower Ground Floor into temporary changing facilities (retrospective)","Police Station 8 Hazel Crescent Douglas Isle Of Man IM2 1BS ","PER","12-Oct-22","2022"
"22/00998/B","Installation of a heat pump","33 Harcroft Avenue Douglas Isle Of Man IM2 1PE","PER","07-Oct-22","2022"
"22/00999/B","Erection of first floor side extension","4 Raad Bridjeen Reayrt Ny Cronk Peel Isle Of Man IM5 1GQ ","PER","11-Oct-22","2022"
"22/01000/B","Installation of replacement double glazed bay window to front elevation.","Fairleigh Hilary Park Douglas Isle Of Man IM2 3ED","PER","26-Oct-22","2022"
"22/01001/B","Additional use of the existing charity shop (class 1.1) and nightclub (sui generis) as ice cream parlour (class 1.1), bakery (class 1.1), cafe (class 1.3), hot food takeaway (class 1.4) and private-hire activity venue (class 4.3)","15-17 Walpole Avenue  Douglas IM1 2LT","PER","07-Nov-22","2022"
"22/01003/B","Erection of single storey garage and extension to the rear.","37 Woodburn Square Douglas Isle Of Man IM1 4DD ","PER","07-Oct-22","2022"
"22/01004/B","Extension of access road and alteration of plot boundary","43 Raad Roagan Peel Isle Of Man IM5 1DY ","PER","03-Oct-22","2022"
"22/01006/B","Erection of leisure cabin to the rear","6 Windermere Avenue Onchan Isle Of Man IM3 2DT ","PER","18-Nov-22","2022"
"22/01008/D","Erection of replacement illuminated signage and installation of additional projecting sign to front elevation","35 Strand Street Douglas Isle Of Man IM1 2EF","PER","19-Oct-22","2022"
"22/01010/B","Installation of replacement doors, windows cladding and re-rendering of the front elevation","33 - 35 Strand Street Douglas Isle Of Man IM1 2EF","PER","19-Oct-22","2022"
"22/01013/B","Installation of replacement door and window with bi-folding door set","Fair Haven 118 Woodbourne Road Douglas Isle Of Man IM2 3BA","PER","11-Oct-22","2022"
"22/01014/MCH","Minor Change application to PA 20/01178/B involving the increase of height to proposed rear garage","16 Selborne Road Douglas Isle Of Man IM1 4BU","PER","23-Aug-22","2022"
"22/01015/B","Erection of replacement single storey extension to side elevation","Moorland House Surby Road Surby Port Erin Isle Of Man IM9 6TD","PER","21-Oct-22","2022"
"22/01016/CON","Registered Building Consent for the installation of roof mounted solar panels and the erection of a storm porch on the rear elevation - RB 93 (in association with application 22/01017/GB)","4 Finch Road Douglas Isle Of Man IM1 2PT","PER","01-Dec-22","2022"
"22/01017/GB","Installation of roof mounted solar panels and the erection of a storm porch on the rear elevation (in association with RB application 22/01016/CON)","4 Finch Road Douglas Isle Of Man IM1 2PT","PER","01-Dec-22","2022"
"22/01018/B","Erection of replacement roof and glazing to rear conservatory","Westville Tynwald Road Peel Isle Of Man IM5 1JN","PER","11-Oct-22","2022"
"22/01019/B","Installation of replacement front door","Vallaveg 11 Lime Street Port St Mary Isle Of Man IM9 5ED ","PER","21-Oct-22","2022"
"22/01020/B","Variation of condition two of PA 18/00376/B to increase the number of children from 32 to 40","Lezayre Church Hall Churchtown Ramsey Isle Of Man IM7 2AN ","PER","17-Oct-22","2022"
"22/01021/B","Installation of a replacement garage window and replace existing garage concrete flat roof with new timber and fibreglass flat roof","The Crofts 36 Albany Road Douglas Isle Of Man IM2 3NA ","PER","11-Oct-22","2022"
"22/01022/LAW","Certificate of lawful use of land for storage and/or distribution (Use Class 2.4)","Graylaw International  Newlands Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QT","CLAWA","07-Oct-22","2022"
"22/01023/B","Erection of a marquee during the months October to March","The Kiosk Shore Road Peel Isle Of Man IM5 1AH ","PER","30-Sep-22","2022"
"22/01024/B","Replacement of pebble dash render with smooth render","Stephen House 13 Woodbourne Road Douglas Isle Of Man IM1 3HH ","PER","11-Oct-22","2022"
"22/01025/B","Erection of replacement single storey rear extension, replacement roofs and re-render existing property","38 Patrick Street Peel Isle Of Man IM5 1BS","PER","02-Dec-22","2022"
"22/01028/C","Change of use application for additional use of existing dwelling for self catering tourist accommodation","Land West Of Rosebank Quarry Road Laxey Isle Of Man IM4 7DU ","PER","09-Nov-22","2022"
"22/01029/B","Replace existing conservatory with an extension to West elevation","1 Mount Rule Cottages West Baldwin Road Mount Rule Isle Of Man IM4 4HS ","PER","15-Nov-22","2022"
"22/01030/B","Erection of extension, installation of flues and replace window to side of garage with a doorway","Seven Acres Glen Tramman Ramsey Isle Of Man IM7 2AP ","PER","09-Dec-22","2022"
"22/01031/B","To install an energy dissipater at the outlet of new surface water system.","Energy Dissipater Outlet Station Dumbells Terrace Laxey Isle Of Man IM4 7NY ","PER","12-Oct-22","2022"
"22/01032/B","Erection of a sun lounge extension and alteration to existing window aperture","88 Ballacriy Park Colby Isle Of Man IM9 4LZ","PER","11-Oct-22","2022"
"22/01037/B","Removal of rear chimney stack","10 Brunswick Road Douglas Isle Of Man IM2 3LQ","PER","12-Oct-22","2022"
"22/01039/B","Extension and alteration to dwelling to provide ancillary living accommodation","1 Mount View Andreas Village Isle Of Man IM7 4HJ ","PER","09-Dec-22","2022"
"22/01041/B","Erection of an extension to replace existing conservatory","28 Ballaquark Douglas Isle Of Man IM2 2EZ","PER","09-Nov-22","2022"
"22/01043/B","Replacement of roof tiles to 3 staircores","Shaws Brow Car Park Church Street Douglas Isle Of Man IM1 2AB ","PER","13-Oct-22","2022"
"22/01044/B","Erection of a timber cabin to the rear","11 Ballagarey Crescent Glen Vine Isle Of Man IM4 4FA","PER","25-Nov-22","2022"
"22/01045/B","Installation of photo voltaic solar panels to rear elevation roof and garden room roof.","126 Malew Street Castletown Isle Of Man IM9 1LT","PER","03-Oct-22","2022"
"22/01046/B","Installation of windows and french doors to integrated garage","33 Birch Hill Avenue Onchan Isle Of Man IM3 4ES","PER","21-Oct-22","2022"
"22/01048/B","Erection of a double garage","River House Riverside Ramsey Isle Of Man IM8 3DA","PER","09-Dec-22","2022"
"22/01049/LAW","Certificate of Lawful Use for use of property as an independent residence","Killane Lodge Killane Ballaugh Isle Of Man IM7 5BD ","CLAWA","30-Sep-22","2022"
"22/01050/B","Alterations and erection of a two storey extension","Knock-Ey-Willyn West Baldwin Isle Of Man IM4 5HB ","REF","28-Nov-22","2022"
"22/01051/B","Alterations, erection of rear extension, rear decking, installation of a flue and widening of existing parking area","5 Maple Close Onchan Isle Of Man IM3 3JS ","PER","01-Nov-22","2022"
"22/01053/B","Alteration, erection of extension, installation of a dormer and widening of driveway and vehicular access","56 Wybourn Drive Onchan Isle Of Man IM3 4AT","PER","20-Oct-22","2022"
"22/01055/B","Installation of wooden cladding to front elevation and removal of arched head window above entrance door.","23 West Quay Ramsey Isle Of Man IM8 1DL ","PER","27-Oct-22","2022"
"22/01056/B","Demolition of existing conservatory, erection of rear and side extension and erection of replacement roof to intergrated garage","Brookfield Ballafesson Road Port Erin Isle Of Man IM9 6BH","REF","11-Nov-22","2022"
"22/01058/B","Erection of replacement temporary changing facility, toilets and storage shed (Part retrospective)","Changing Facilities Springfield Road Douglas Isle Of Man IM2 1ER ","PER","12-Oct-22","2022"
"22/01059/B","Erection of a greenhouse to rear garden","Clybane Cottage Patrick Road Patrick Village Isle Of Man IM5 3AL","PER","25-Nov-22","2022"
"22/01061/MCH","Minor Change application to PA 21/00197/B involving a replacement shopfront to the one approved","29 Victoria Street Douglas Isle Of Man IM1 2LG","REF","19-Oct-22","2022"
"22/01062/B","Alterations including erection of a single storey rear extension.","20 Harcroft Avenue Douglas Isle Of Man IM2 1PB","PER","11-Nov-22","2022"
"22/01063/C","Change of use of part of residential accommodation to additional use as tourist accomodation","Mill House West Baldwin Isle Of Man IM4 5HB ","PER","03-Oct-22","2022"
"22/01064/B","Proposed Change of Use from Residential (class 3.3) to Additional Use as Tourist Premises (Holiday Lets) (class 3.6), to include alterations to window/door openings and areas of decking","Broogh Fort Moaney Road Santon Isle Of Man IM4 2HX","REF","01-Dec-22","2022"
"22/01065/B","Installation of replacement windows and door to front elevation","The Old Bakehouse Athol Street Port St Mary Isle Of Man IM9 5DS ","PER","21-Oct-22","2022"
"22/01067/B","Erection of two storey extension to side elevation","11 Abbots Close Ballasalla Isle Of Man IM9 3EA","PER","22-Nov-22","2022"
"22/01069/B","Erection of a single storey healthcare facility with associated access, parking and landscaping","Land At Cronk Grianagh (Former Mannin Infirmary) Strang Douglas Isle Of Man  ","PER","25-Oct-22","2022"
"22/01070/B","Reinstatement of front dormers, installation of replacement rear roof in matching slate, ten additional roof lights and replacement timber front door and frame","Peveril Court (Bleak House) Mooragh Promenade Ramsey Isle Of Man IM8 3AB ","PER","10-Nov-22","2022"
"22/01072/B","Proposed ground and first floor rear extension","151 Fairways Crescent Mount Murray Douglas Isle Of Man IM4 2JJ","PER","11-Nov-22","2022"
"22/01074/MCH","Minor Change application to PA 22/00004/B involving replacement of approved extension to rear of property with bi-folding doors.","67 Ard Reayrt Laxey Isle Of Man IM4 7QQ ","REF","29-Sep-22","2022"
"22/01075/B","Installation of new door within existing front window aperture","Flat 1 Empress Apartments Central Promenade Douglas Isle Of Man IM2 4EE ","PER","27-Oct-22","2022"
"22/01076/D","Installation of illuminated signage","15-17 Walpole Avenue  Douglas IM1 2LT","PER","26-Oct-22","2022"
"22/01077/C","Change of use application of a dwelling (class 3.3) to allow additional Tourist Use (class 3.6)","Creggan Port E Vullen Ramsey Isle Of Man IM7 1AP ","PER","13-Oct-22","2022"
"22/01078/B","Installation of replacement windows and doors, roof tiles, render and addition of a front porch","Yn Thie My Chree 36 Mines Road Laxey Isle Of Man IM4 7NH ","PER","20-Oct-22","2022"
"22/01079/C","Change of use from two apartments (class 3.4) to a residential dwelling (class 3.3)","Edendale Royal Drive Onchan Isle Of Man IM3 1HG ","PER","25-Nov-22","2022"
"22/01080/B","Erection of a rear (West) extension to replace existing","19 Hope Street Castletown Isle Of Man IM9 1AP","PER","28-Oct-22","2022"
"22/01081/B","Installation of a flue","Grianane Back Shore Road Laxey Isle Of Man IM4 7DH","PER","20-Oct-22","2022"
"22/01082/B","Installation of a flue","61 Royal Park Ramsey Isle Of Man IM8 3UH ","PER","20-Oct-22","2022"
"22/01085/CON","Creation of Frieze Panels on internal Chancel wall of Chapel - RB 185","The Chapel King Williams College Grounds Castletown Isle Of Man IM9 1TP ","PER","28-Nov-22","2022"
"22/01086/B","Alterations, erection of extensions, installation of a flue and convert garage to provide living accommodation","36 Rheast Mooar Avenue Ramsey Isle Of Man IM8 3LS","PER","26-Oct-22","2022"
"22/01087/B","Alterations and replacement of existing conservatory with an extension to side elevation and erection of an extension to rear elevation","Lower Ballacashin Abbeylands Douglas Isle Of Man IM4 5EG ","PER","19-Dec-22","2022"
"22/01091/B","Alterations and erection of a single storey extension and detached garage with roof mounted solar panels (amendment to PA 21/00695/B re the relocation of garage)","Kitani Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ","PER","15-Nov-22","2022"
