"osm_id","osm_type","osm_url","lat","lon","postal_code","source:postal_code"
"230777716","way","https://osm.org/way/230777716","54.270314073750654","-4.377343316233969","IM7 1HF",""
"475392864","node","https://osm.org/node/475392864","54.265054","-4.370508","IM7 1HJ","Isle of Man Government Land Registry Land Transactions"
"475393792","node","https://osm.org/node/475393792","54.316783","-4.405642","IM7 2AD","Isle of Man Government Planning Applications"
"475394939","node","https://osm.org/node/475394939","54.305122","-4.417992","IM7 2AG","Isle of Man Government Planning Applications"
"505528511","node","https://osm.org/node/505528511","54.320327","-4.444268","IM7 2AT",""
"475394678","node","https://osm.org/node/475394678","54.317821","-4.486729","IM7 2BA","Planning Committee minutes"
"475394666","node","https://osm.org/node/475394666","54.312374","-4.488964","IM7 2BB","Isle of Man Government Planning Applications"
"1126021452","way","https://osm.org/way/1126021452","54.34076017719133","-4.4700519348222265","IM7 2EP",""
"475392873","node","https://osm.org/node/475392873","54.331778","-4.472337","IM7 2ES",""
"475393502","node","https://osm.org/node/475393502","54.325383","-4.478926","IM7 2HG","Isle of Man Government Planning Applications"
"477372456","node","https://osm.org/node/477372456","54.350427","-4.510566","IM7 3AJ",""
"475392835","node","https://osm.org/node/475392835","54.388015","-4.412553","IM7 3EA","Isle of Man Government Land Registry Land Transactions"
"254847409","way","https://osm.org/way/254847409","54.3874999340979","-4.436644549951517","IM7 3EB",""
"475395126","node","https://osm.org/node/475395126","54.37667","-4.457449","IM7 3EG",""
"496611444","node","https://osm.org/node/496611444","54.384578","-4.477712","IM7 3EH",""
"475394272","node","https://osm.org/node/475394272","54.378622","-4.484093","IM7 3EJ","Isle of Man Government Planning Applications"
"889619377","way","https://osm.org/way/889619377","54.35726411455997","-4.45308136199079","IM7 3HH",""
"475395010","node","https://osm.org/node/475395010","54.340136","-4.445541","IM7 3HJ","Isle of Man Government Land Registry Land Transactions"
"25986552","way","https://osm.org/way/25986552","54.348053991713634","-4.4539406304063975","IM7 3HL","Isle of Man Government Land Registry Land Transactions"
"25987813","way","https://osm.org/way/25987813","54.34814358629993","-4.425003955067117","IM7 3HL","Isle of Man Government Land Registry Land Transactions"
"889619421","way","https://osm.org/way/889619421","54.3481513791999","-4.442268619165516","IM7 3HL","Isle of Man Government Land Registry Land Transactions"
"1000314658","way","https://osm.org/way/1000314658","54.34600548908641","-4.3875358267251094","IM7 4AB","Isle of Man Government Land Registry Land Transactions"
"475394119","node","https://osm.org/node/475394119","54.351348","-4.393405","IM7 4AH","Isle of Man Government Planning Applications"
"475393436","node","https://osm.org/node/475393436","54.357687","-4.395733","IM7 4AN","Isle of Man Government Planning Applications"
"496611437","node","https://osm.org/node/496611437","54.364644","-4.38883","IM7 4AP",""
"895078378","way","https://osm.org/way/895078378","54.36569784741648","-4.448644757917817","IM7 4AT",""
"25987226","way","https://osm.org/way/25987226","54.38217740224879","-4.389866725246288","IM7 4AU","Isle of Man Government Planning Applications"
"25986643","way","https://osm.org/way/25986643","54.380984047957014","-4.390965619894749","IM7 4AY","Isle of Man Government Planning Applications"
"25987603","way","https://osm.org/way/25987603","54.38113902694716","-4.390423832706314","IM7 4AY","Isle of Man Government Planning Applications"
"475392766","node","https://osm.org/node/475392766","54.383054","-4.393817","IM7 4BA","Isle of Man Government Planning Applications"
"475395077","node","https://osm.org/node/475395077","54.378639","-4.402386","IM7 4BA","Isle of Man Government Planning Applications"
"475393527","node","https://osm.org/node/475393527","54.385497","-4.403634","IM7 4BF","Isle of Man Government Planning Applications"
"475394152","node","https://osm.org/node/475394152","54.393068","-4.406086","IM7 4BF","Isle of Man Government Land Registry Land Transactions"
"475394634","node","https://osm.org/node/475394634","54.38884","-4.408417","IM7 4BF","Isle of Man Government Land Registry Land Transactions"
"475395203","node","https://osm.org/node/475395203","54.392032","-4.412957","IM7 4BF","Isle of Man Government Land Registry Land Transactions"
"1002356077","way","https://osm.org/way/1002356077","54.34166795467417","-4.411481990184139","IM7 4EG","Isle of Man Government Land Registry Land Transactions"
"475394530","node","https://osm.org/node/475394530","54.360954","-4.413736","IM7 4EL",""
"476184704","node","https://osm.org/node/476184704","54.366888","-4.438508","IM7 4EP",""
"25987694","way","https://osm.org/way/25987694","54.367533676141754","-4.439678955669772","IM7 4FA","Isle of Man Government Land Registry Land Transactions"
"25988604","way","https://osm.org/way/25988604","54.36545168621189","-4.450735232326079","IM7 4HG","Isle of Man Government Land Registry Land Transactions"
"25987982","way","https://osm.org/way/25987982","54.36508366042074","-4.450893677565946","IM7 4HQ","Isle of Man Government Land Registry Land Transactions"
"25986727","way","https://osm.org/way/25986727","54.36826229629273","-4.439932481720922","IM7 4HY","Isle of Man Government Land Registry Land Transactions"
"1176917703","way","https://osm.org/way/1176917703","54.368029","-4.4390789999999996","IM7 4HY","Isle of Man Government Land Registry Land Transactions"
"113526284","way","https://osm.org/way/113526284","54.37259766049327","-4.443355023863698","IM7 4JA",""
"115752152","way","https://osm.org/way/115752152","54.32561547994281","-4.5558303180350554","IM7 5AT",""
"950922382","node","https://osm.org/node/950922382","54.313957","-4.565678","IM7 5AY","Isle of Man Government Land Registry Land Transactions"
"475392887","node","https://osm.org/node/475392887","54.337097","-4.536658","IM7 5BG",""
"475393788","node","https://osm.org/node/475393788","54.327408","-4.530322","IM7 5BL","Isle of Man Government Companies Registry"
"475393904","node","https://osm.org/node/475393904","54.312835","-4.526448","IM7 5DP","Isle of Man Government Land Registry Land Transactions"
"157868404","way","https://osm.org/way/157868404","54.309759","-4.5413255","IM7 5EE",""
"475393389","node","https://osm.org/node/475393389","54.307444","-4.53512","IM7 5EE",""
