Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,11/01630/B,Installation of replacement windows,13-Jan-12,Director Delegation,Bradda Mooar Bradda Road Port Erin Isle Of Man IM9 6PR 
Permitted,11/01631/B,Visibility improvement works,19-Mar-12,Department Application,Junction At Grenaby Road / Foxdale Road Ballasalla Isle Of Man  
Permitted,11/01632/B,Demolition of existing dwelling and erection of two detached dwellings,09-Feb-12,Head of Development Management,The Hut Douglas Road Ballasalla Isle Of Man IM9 2AN
Permitted,11/01633/B,Erection of an enclosure,06-Jan-12,Head of Development Management,MEA Substation Tholt Y Will Sulby Isle Of Man  
Permitted,11/01634/B,Erection of a porch to dwelling,06-Jan-12,Head of Development Management,12 Tromode Green Douglas Isle Of Man IM2 5NT 
Permitted,11/01635/B,Installation of replacement doors to front and rear elevations,12-Jan-12,Head of Development Management,9 Upper Dukes Road Douglas Isle Of Man IM2 4BA
Permitted,11/01636/B,Installation of a replacement shop front,13-Jan-12,Director Delegation,Mantons 17 Station Road Port Erin Isle Of Man IM9 6AE
Permitted,11/01637/B,Alterations and erection of an replacement extension to dwelling,13-Jan-12,Head of Development Management,10 Belmont Road Douglas Isle Of Man IM1 4NR
Permitted,11/01638/B,Creation of an access ramp,06-Jan-12,Head of Development Management,St Pauls Church Hall Market Place West Ramsey Isle Of Man IM8 1JU 
Permitted,11/01639/D,Installation of illuminated and non illuminated signage,20-Mar-12,Planning Committee,Callows Yard 17 / 19 Malew Street Castletown Isle Of Man IM9 1AB 
Refused,11/01640/C,Change of use of converted stable from ancillary living accommodation to commercial rental accommodation (Retrospective),16-Feb-12,Head of Development Management,Ballanank Farm Phildraw Road Ballasalla Isle Of Man IM9 3EH
Refused,11/01641/B,Installation of replacement windows (Retrospective),19-Jan-12,Head of Development Management,Glen Cottage Glen Road Laxey Isle Of Man IM4 7AJ
Permitted,11/01642/B,Alterations and erection of an extension to dwelling,12-Jan-12,Head of Development Management,139 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JG 
Permitted,11/01643/B,Erection of an extension to replace an existing ancillary room to dwelling,12-Jan-12,Head of Development Management,The Shop Sulby Bridge Sulby Isle Of Man IM7 2EZ
Application Withdrawn,11/01644/B,Convert building into two dwellings,12-Mar-12,Withdrawn,Old Peel Doctors Surgery Derby Road Peel Isle Of Man IM5 1HP
Permitted,11/01645/D,Erection of direction signage (Retrospective),13-Jan-12,Director Delegation,East Entrance Hills Meadow Peel Road Douglas Isle Of Man IM1 5EB 
Permitted,11/01646/B,Erection of an extension to side and rear elevation of dwelling,12-Jan-12,Head of Development Management,73 Ballagarey Road Glen Vine Isle Of Man IM4 4EU
Permitted,11/01647/B,Erection of a detached dwelling with integral garage,21-Feb-12,Planning Committee,Site Between The Lhea And Granane Pinfold Hill Laxey Isle Of Man  
Permitted,11/01648/B,Installation of replacement windows and porch door,13-Jan-12,Director Delegation,1 St Annes Terrace Newtown Santon Isle Of Man IM4 1JA
Permitted,11/01649/B,Installation of replacement windows and doors,13-Feb-12,Head of Development Management,The Nook Crossag Road Ballasalla Isle Of Man IM9 3EE
Permitted,11/01650/B,Installation of a dormer window and roof light to dwelling,12-Jan-12,Head of Development Management,4 Lyndale Avenue Peel Isle Of Man IM5 1JY
Permitted,11/01651/B,Erection of a canopy to safe play area,13-Jan-12,Director Delegation,Ballacloan School Demesne Road Douglas Isle Of Man IM1 3DX
Permitted,11/01652/B,Creation of a fire escape door,06-Jan-12,Head of Development Management,Andreas School Andreas Village Isle Of Man IM7 4EZ 
Permitted,11/01653/B,Alterations and extension to dwelling (comprising amendments to PA 11/00982/B),06-Jan-12,Head of Development Management,1 Bishopscourt Cottages Main Road Ballaugh Isle Of Man IM7 5EX
Permitted,11/01654/B,Installation of replacement windows and front door,12-Jan-12,Head of Development Management,36A Market Street Peel Isle Of Man IM5 1AE
Permitted,11/01655/B,Installation of a dormer window to dwelling,12-Jan-12,Director Delegation,17 Perwick Road Port St. Mary Isle Of Man IM9 5PA
Permitted,11/01656/B,Solar panels and roof alterations to dwelling (partial retrospective),03-Feb-12,Head of Development Management,The Retreat Surby Road Ballafesson Port Erin Isle Of Man IM9 6TE
Permitted,11/01657/B,Extension to and conversion of existing detached garage into tourist accommodation (Amendments to PA 09/01099/B),06-Jan-12,Head of Development Management,The Anchorage Port E Vullen Ramsey Isle Of Man IM7 1AP 
Permitted,11/01658/B,Installation of an air conditioning unit,31-Jan-12,Head of Development Management,Acclaim House 12 Mount Havelock Douglas Isle Of Man IM1 2QG 
Permitted,11/01659/B,Replace existing window with a doorway and steps,16-Jan-12,Director Delegation,15 Greyfriars Close Ballabeg Castletown Isle Of Man IM9 4EJ
Permitted,11/01660/B,Erection of an extension to rear elevation of dwelling,12-Jan-12,Head of Development Management,48 Glenfaba Road Peel Isle Of Man IM5 1BX
Permitted,11/01661/B,Installation of replacement windows and front door,12-Apr-12,Senior Planning Officer - South (SC),The Elms 3 Glencrutchery Road Douglas Isle Of Man IM2 5HS
Permitted,11/01662/B,Erection of a sun room to replace existing conservatory,06-Jan-12,Head of Development Management,12 Ballachrink Drive Onchan Isle Of Man IM3 4NX
Permitted,11/01663/B,"Alterations, installation of a dormer window and replace an existing window with french windows",10-Jan-12,Head of Development Management,Aigh Vie Beaumont Road Ramsey Isle Of Man IM8 2HW
Deemed withdrawn 4(3) Dev Pro Order 2005,11/01664/A,Approval in principle for a residential development,11-May-12,Withdrawn,Site Adjacent To The Viking Hotel Station Road Castletown Isle Of Man  
Permitted,11/01665/B,Installation of replacement windows to rear elevation (Retrospective),12-Jan-12,Head of Development Management,3 Crosby Terrace Crosby Isle Of Man IM4 2DA
Permitted,11/01666/B,Creation of a private parking area (Retrospective),03-Feb-12,Head of Development Management,Land Adjacent To Albert Hotel Athol Street Port St. Mary Isle Of Man IM9 5DS
Refused,11/01667/B,Erection of an extension to dwelling,31-Jan-12,Head of Development Management,8 Wybourn Drive Onchan Isle Of Man IM3 4AJ
Permitted,11/01668/B,"Installation of replacement shop front, side and rear door, blocking up existing side elevation windows and door",16-Jan-12,Director Delegation,8  Atholl Place Peel Isle Of Man IM5 1HE
Permitted,11/01669/C,Additional use of residential apartment as tourist accommodation,23-Jan-12,Planning Committee,Apartment 47 Majestic Apartments King Edward Road Onchan Isle Of Man IM3 2BE 
Permitted,11/01670/B,Erection of a replacement building accommodating two apartments (comprising amendments to PA 09/00743/B),09-Feb-12,Head of Development Management,Fairways Clifton Road Port St. Mary Isle Of Man IM9 5EL
Permitted,11/01671/B,Formation of parking areas,09-Feb-12,Head of Development Management,Rear Garden Areas Of Nos. 25 & Nos. 33 To 83 (odd Numbers) Barrule Drive Onchan Isle Of Man 
Refused,11/01672/B,Erection of a canopy to safe play area,12-Jan-12,Head of Development Management,St Thomas  C Of E School Finch Road Douglas Isle Of Man IM1 2PL 
Permitted,11/01673/B,Erection of canopy to safe play area,12-Jan-12,Head of Development Management,St Marys School St Marys Road Douglas Isle Of Man IM2 5RB
Application Withdrawn,11/01674/B,Re roofing works to dwelling,17-Jan-12,Withdrawn,20 Castle Street Peel Isle Of Man IM5 1AN 
Permitted,11/01675/B,Installation of replacement windows and doors,16-Jan-12,Head of Development Management,Virginia Barn Mount Rule Douglas Isle Of Man IM4 4HW 
Refused,11/01676/A,Approval in principle for erection of a dwelling,12-Jan-12,Head of Development Management,Land Adjacent To Sheeoil Jurby Road Lezayre Ramsey Isle Of Man  
Permitted,11/01677/B,Replace existing sheds with a building for the storage of vehicles and equipment,27-Feb-12,Planning Committee,Ballannette  Ballamenagh Road Baldrine Isle Of Man IM4 6AJ 
Permitted,11/01678/C,Change of use from retail to residential/tourist accommodation,08-Feb-12,Planning Committee,Tara  18-20 High Street Port St. Mary Isle Of Man IM9 5DW
Permitted,11/01679/B,Erection of a conservatory and a two storey extension to dwelling,16-Jan-12,Director Delegation,2 Ballanoa Meadow Santon Isle Of Man IM4 1HQ
Permitted,11/01680/B,Erection of fencing (Retrospective),29-Feb-12,Head of Development Management,Bridgeburn Ellenbrook Close Douglas Isle Of Man IM2 1QF
Permitted,11/01681/B,Installation of replacement windows,02-Feb-12,Head of Development Management,18-20 Malew Street Castletown Isle Of Man IM9 1AD
Permitted,11/01682/B,Erection of a pair of apartments with garaging to replace two demolished dwellings,08-Feb-12,Planning Committee,Plot Formerly 1 And 2 The Promenade Port St. Mary Isle Of Man  
Permitted,11/01683/B,Installation of replacement windows to front elevation,16-Jan-12,Director Delegation,Riversdale House 21 Droghadfayle Road Port Erin Isle Of Man IM9 6EE
Permitted,11/01684/C,Change of use of part of ground floor from restaurant and bar/nightclub to office use,31-Jan-12,Head of Development Management,Peveril Building Peveril Square Douglas Isle Of Man IM1 2BS 
Permitted,11/01685/B,"Alterations, erection of extensions, creation of a gateway and widening of driveway and vehicular access",16-Jan-12,Director Delegation,12 Erin Crescent Port Erin Isle Of Man IM9 6FD 
Permitted,11/01686/B,Alterations and extension to dwelling,23-Feb-12,Head of Development Management,The Rydings Glen Auldyn Ramsey Isle Of Man IM7 2AF 
Permitted,11/01687/B,Erection of an agricultural building,23-Feb-12,Head of Development Management,Ballagraingey Farm Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT
Permitted,11/01688/B,Renovation and conversion of barn into tourist accommodation,20-Mar-12,Head of Development Management,West Craige Farm  St Judes Road West Craig Ramsey Isle Of Man IM7 3BY
Permitted,11/01689/B,Installation of replacement windows and doors,12-Jan-12,Head of Development Management,24 Summerhill Road Onchan Isle Of Man IM3 1LY
Permitted,11/01690/B,Installation of replacement windows to first and second floor flats,23-Feb-12,Head of Development Management,8 Windsor Road Douglas Isle Of Man IM1 3LB
Refused,11/01691/B,Installation of replacement windows to front elevation,23-Jan-12,Planning Committee,Marina Cottage 17 - 18 Shore Road Peel Isle Of Man IM5 1NH
Permitted,11/01692/B,Demolition of a single storey shed (Unit Z) and conversion of an old pump house (Unit Y) to provide office accommodation with associated parking,18-Jan-12,Head of Development Management,Old Pump House The Fish Yard Mill Road Peel Isle Of Man IM5 1TA
Permitted,11/01693/B,Erection of an extension to dwelling,12-Jan-12,Head of Development Management,109 Wybourn View Onchan Isle Of Man IM3 4AZ
Permitted,11/01694/B,Installation of replacement windows and door to front elevation (Retrospective),12-Jan-12,Director Delegation,2 Station Road Peel Isle Of Man IM5 1AY
Permitted,11/01695/B,Extension to playground and installation of play equipment,16-Jan-12,Head of Development Management,Ashley Hill Primary School Ashley Road Onchan Isle Of Man IM3 3LA
Permitted,11/01696/B,Alterations and extension to dwelling,15-Mar-12,Senior Planning Officer - North (CB),Glevum The Promenade Laxey Isle Of Man IM4 7DF
Permitted,11/01697/B,Alterations and extensions to dwelling and widening of driveway and vehicular access,02-Feb-12,Head of Development Management,Aalin Thie Tromode Park Douglas Isle Of Man IM2 5LA
Permitted,11/01698/B,"Installation of cladding to front, side and rear elevations",23-Jan-12,Senior Planning Officer - North (CB),Barclays Bank  Victoria Street Douglas Isle Of Man IM1 2LE
Permitted,11/01699/B,Alterations and extension to kitchen staff locker room,18-Jan-12,Head of Development Management,Castle Rushen High School Arbory Road Castletown Isle Of Man IM9 1RE
Refused,11/01700/B,Installation of a solar panel,27-Jan-12,Senior Planning Officer - South (SC),Kentraugh Kentraugh Port St. Mary Isle Of Man IM9 5NA 
Permitted,11/01701/B,Erection of an extension to dwelling,23-Jan-12,Senior Planning Officer - South (SC),Thallo Yn Trooan Archallagan Crosby Isle Of Man IM4 2HJ 
Permitted,11/01702/B,"Alterations including amendments to dormer window and porch, widen driveway and vehicular access and creation of decking",23-Jan-12,Planning Committee,37 Birch Hill Avenue Onchan Isle Of Man IM3 4ES
Permitted,11/01703/B,Extension to form additional living accommodation and replacement garage,18-Jan-12,Head of Development Management,Drum Shee Ballacollister Road Laxey Isle Of Man IM4 7JR
Permitted,11/01704/C,Additional use of residential property as tourist accommodation,23-Jan-12,Senior Planning Officer - North (CB),The Old Railway Station Port Soderick Glen Port Soderick Isle Of Man IM4 1BF 
Refused,11/01705/B,Erection of fencing and three stone pillars to existing front wall,27-Jan-12,Senior Planning Officer - North (CB),Cass Struan Beach Road Port St. Mary Isle Of Man IM9 5NF
Permitted,11/01706/B,Alterations to garage and creation of doorways to rear elevation of dwelling,27-Jan-12,Senior Planning Officer - North (CB),16 Farmhill Park Douglas Isle Of Man IM2 2EE
Refused,11/01707/B,"Demolition of existing attached garage/outbuilding, division of existing plot to provide new plot, erection of a dwelling and creation of parking/hardstanding to existing and proposed dwelling",02-May-12,Planning Committee,Sabrew Main Road Sulby Isle Of Man IM7 2HF
