Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00111/B,Erection of a two storey extension to side elevation and conservatory to rear elevation,08-Mar-12,Senior Planning Officer - North (CB),16 Furman Close Onchan Isle Of Man IM3 1BT
Permitted,12/00112/B,Erection of a detached dwelling,27-Mar-12,Head of Development Management,Land At Cronk Liauyr Douglas Isle Of Man  
Permitted,12/00113/B,Erection of a detached dwelling with detached garage (Amendments to 10/00600/B),19-Mar-12,Senior Planning Officer - North (CB),Plot 1 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ 
Permitted,12/00114/B,Installation of car park lighting,20-Mar-12,Planning Committee,QEII High School Douglas Road Peel Isle Of Man IM5 1RD 
Permitted,12/00115/B,Alterations and extension to dwelling,15-Mar-12,Senior Planning Officer - North (CB),Ballyre Beg Balleira Road Kirk Michael Isle Of Man IM6 1EE
Permitted,12/00116/B,Construction of glass lift to east elevation and canopy to north elevation,05-Mar-12,Senior Planning Officer - North (CB),East Wing  Nunnery Mills Old Castletown Road Douglas Isle Of Man IM2 1QA
Permitted,12/00117/B,Creation of patio doors to dwelling house and erection of a detached double garage with storage space above,15-Mar-12,Senior Planning Officer - South (SC),The Old Manse Station Road Kirk Michael Isle Of Man IM6 1EZ
Refused,12/00118/B,"Erection of a replacement dwelling, extension of residential curtilage into part of fields 414177 and 414179 and creation of new vehicular access from existing field access",23-Apr-12,Senior Planning Officer - North (CB),Clybane Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX
Refused,12/00119/B,Erection of a detached garage and stable,23-Apr-12,Senior Planning Officer - North (CB),Clybane Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX
Permitted,12/00120/C,Additional use of residential apartment as a trading architects business,02-Mar-12,Senior Planning Officer - North (CB),Apartment 3 Chapel Court Apartments Gellings Avenue Port St. Mary Isle Of Man IM9 5BG 
Permitted,12/00121/B,Creation of an additional field access and reduce width of existing field access,02-Mar-12,Senior Planning Officer - North (CB),Field 130781 Kella Road Sulby Isle Of Man  
